id	total	mutual	mutualT	single	singleT
45144238	22	19	2	3	0
44148651	61	34	17	27	12
42068515	533	324	121	209	35
32294244	18	11	4	7	3
237714311	28	17	4	11	4
28495590	54	36	11	18	5
259416379	64	48	18	16	6
27328805	51	46	15	5	0
153592573	20	18	1	2	1
21162448	15	7	1	8	5
15888253	12	9	1	3	1
245935903	43	26	3	17	2
16020596	19	15	1	4	0
46752144	15	7	3	8	3
25406383	15	11	5	4	1
41315479	37	20	3	17	5
56781511	23	17	5	6	1
234043682	30	15	5	15	1
94138063	55	27	4	28	6
21806491	14	9	2	5	2
89739715	20	16	6	4	1
14083889	17	7	3	10	1
5128281	87	57	27	30	9
94621265	96	45	7	51	10
258130093	28	26	10	2	1
68273440	65	55	9	10	3
253645145	30	12	2	18	7
83610302	18	11	9	7	3
15982406	131	117	25	14	4
83703285	1370	1298	49	72	8
49785999	23	13	5	10	7
34951414	11	6	1	5	3
26490677	33	14	6	19	4
14833484	18	14	2	4	2
19542787	19	11	2	8	3
74199768	36	23	6	13	4
16421089	63	57	8	6	0
16165168	33	20	5	13	5
10681782	14	7	3	7	2
54754495	58	47	0	11	0
34908680	32	18	3	14	4
160368640	21	20	2	1	0
16032106	13	9	5	4	0
37760670	29	23	7	6	3
89769304	28	13	6	15	2
19805448	169	137	24	32	6
16421096	24	19	4	5	3
107243483	22	21	0	1	0
22939471	33	25	9	8	4
32130790	15	14	4	1	1
145756650	34	26	7	8	3
48850994	28	23	10	5	2
23696679	115	82	9	33	3
55097807	22	14	2	8	5
16165153	12	10	1	2	0
242753366	71	68	10	3	1
59541673	53	39	12	14	4
37210837	142	2	0	140	3
44179340	23	17	7	6	2
94446574	23	11	2	12	7
24073161	30	9	4	21	6
160469916	29	27	2	2	0
20606285	13	9	3	4	0
94911558	1170	637	81	533	44
80066221	289	288	20	1	0
29268843	12	8	2	4	2
95323720	128	116	17	12	3
45023556	80	72	16	8	3
61599518	3226	2948	437	278	44
38739014	23	16	2	7	2
20172740	39	34	12	5	0
17792779	83	71	27	12	7
1111821	55	32	7	23	5
14872524	860	181	20	679	19
71311870	15	11	3	4	0
21806576	183	119	18	64	7
234196795	28	12	5	16	6
17629705	16	8	2	8	0
18307793	40	34	4	6	0
159627843	39	20	3	19	4
71295958	104	99	19	5	2
54404967	22	9	2	13	2
149922655	33	26	6	7	2
22460402	138	124	12	14	3
13797522	61	55	9	6	1
211768490	28	25	4	3	0
169626071	58	45	3	13	3
47526117	13	7	3	6	0
17175104	31	12	5	19	9
71295946	26	12	6	14	6
42270283	97	38	10	59	10
134770401	91	85	11	6	1
16724904	133	62	13	71	19
16890971	26	25	3	1	1
70144215	12	12	5	0	0
41230092	60	16	2	44	6
20651754	26	7	2	19	9
34508196	28	18	4	10	5
19258467	18	10	4	8	3
9683632	22	14	7	8	4
50367404	16	15	5	1	1
23354388	20	18	2	2	0
36345143	32	21	5	11	5
118959076	38	31	12	7	2
61083981	15	15	1	0	0
36004528	3764	3287	47	477	2
211982545	48	22	5	26	2
49399043	324	301	17	23	1
28239415	62	33	9	29	8
16908814	51	30	13	21	8
204403472	31	10	1	21	4
18927948	143	29	5	114	10
34438148	782	711	140	71	19
100378401	28	11	7	17	7
130523117	19	14	2	5	0
18373742	21	17	1	4	0
19916152	14	9	2	5	0
53240421	36	16	7	20	6
14083864	16	12	2	4	0
15877341	272	159	36	113	11
188045647	30	9	3	21	6
243345722	2264	1911	259	353	40
161642034	554	446	24	108	6
15281837	47	10	4	37	5
231251219	12	10	1	2	0
67099288	30	11	0	19	1
49194317	13	8	3	5	0
28843557	21	12	5	9	1
14872538	34	11	1	23	7
19258489	184	166	54	18	5
23024461	30	15	1	15	6
14673782	86	81	13	5	1
219552369	116	112	13	4	0
18610971	161	110	13	51	5
213398409	45	37	13	8	0
17076843	90	80	23	10	1
72979794	93	71	13	22	4
55015018	20	12	4	8	3
48888514	13	12	2	1	0
43752307	11	8	4	3	1
22120854	36	24	11	12	6
153244811	85	54	5	31	3
29105203	27	19	6	8	3
110568102	19	15	8	4	2
44934059	48	18	5	30	6
2132641	125	108	26	17	7
38994232	224	74	9	150	11
31068183	204	187	40	17	5
115743626	16	9	1	7	2
87851820	179	162	51	17	5
58537329	57	16	7	41	15
30949212	35	32	5	3	1
208816704	61	59	6	2	0
155650355	75	35	10	40	10
17370496	57	47	5	10	0
187989376	33	17	2	16	6
50401258	58	32	13	26	7
17970719	35	33	14	2	0
105294011	67	62	9	5	1
15978211	26	12	1	14	2
48888529	50	46	14	4	2
23805874	1303	1071	104	232	17
16890945	100	75	42	25	10
19892547	18	13	7	5	2
21231983	20	7	2	13	4
202205274	41	26	2	15	2
14544686	139	114	44	25	4
294763589	47	27	2	20	4
15020872	29	23	8	6	2
81928041	24	8	3	16	3
37738953	116	64	28	52	20
232598732	169	144	17	25	3
57030130	28	17	7	11	1
65067135	35	15	3	20	2
14428947	111	97	18	14	5
159224476	110	103	15	7	2
250743955	15	12	1	3	2
72868844	26	14	6	12	5
14872551	30	9	4	21	7
156682200	26	21	6	5	3
25683514	12	8	4	4	1
15335727	34	11	3	23	4
23102350	44	30	6	14	0
138589825	28	19	1	9	1
23805862	26	13	5	13	1
115750298	41	15	2	26	6
81150248	12	7	2	5	0
17531482	30	13	3	17	3
22993523	58	20	9	38	12
204646608	17	15	1	2	0
82714473	16	11	3	5	1
14428956	13	9	4	4	1
14872584	113	74	16	39	11
46904335	17	11	1	6	1
111359149	25	7	1	18	4
14428955	18	12	6	6	1
18307770	23	15	7	8	5
16908855	35	14	4	21	5
15676492	657	599	145	58	8
67235561	21	19	0	2	0
113424866	134	13	4	121	15
16724972	25	22	3	3	2
267408471	56	47	4	9	0
59346506	5055	4383	443	672	66
27172621	602	534	39	68	10
16460916	36	24	7	12	2
17291745	102	72	21	30	5
17531492	16	12	4	4	2
129975745	4849	4277	473	572	52
141372823	12	5	1	7	1
29234875	21	11	5	10	2
17531496	14	10	1	4	0
67212043	50	39	15	11	4
174487299	25	12	1	13	4
235780151	20	14	3	6	0
211664595	44	18	4	26	8
19933219	834	811	94	23	1
16571146	44	29	4	15	0
39170082	11	7	0	4	0
8766862	13	11	2	2	0
23327733	20	9	1	11	4
755068	51	39	7	12	0
18610936	26	25	7	1	0
48214834	31	27	3	4	0
248173664	23	23	3	0	0
33731886	18	16	6	2	0
23410948	291	144	4	147	15
133906068	69	24	7	45	12
19013887	50	31	11	19	1
124212616	151	129	29	22	4
12703932	19	18	7	1	0
68033	51	43	16	8	2
17076895	15	13	4	2	1
15941311	51	28	11	23	13
18203863	5031	3780	123	1251	14
106737976	17	11	4	6	1
15767612	13	6	2	7	5
116386350	74	42	2	32	2
10717952	316	305	78	11	3
14125008	112	102	18	10	1
41230019	69	36	13	33	7
156306368	14	12	2	2	0
19291242	32	18	7	14	6
33319999	111	55	6	56	5
144951518	164	125	45	39	12
20028227	713	417	28	296	17
126717403	11	11	1	0	0
218270693	44	36	2	8	2
18239978	32	28	6	4	0
100767991	16	11	3	5	2
181244874	12	8	0	4	1
89049140	70	59	7	11	2
